job_name,inst_id,user,start_time,end_time,duration_seconds,task_count,instance_count,requested_cpu_percent,requested_memory_units,requested_gpu_units,gpu_types,job_id,duration,num_cpu,num_gpu,submit_time,num_inst
fbc20c2e7cab5418facc07b6,dcf8ddc322ddf32e88d665673281b180c4247b9a780f731e5063b53a48f7,c677a0acf7c0,1447336.0,1448090.0,754.0,1,8,4800.0,234.375,2.0,MISC,dcf8ddc322ddf32e88d665673281b180c4247b9a780f731e5063b53a48f7,754,48.0,2.0,1447336,8
232afa77ecc285caf2c5c878,0f7ce7deb48ed8d3bad4da5f130f2e89e375dc0a3c5a44f4f85f6cdbdcdd,c677a0acf7c0,1447562.0,1461158.0,13596.0,1,16,9600.0,468.75,4.0,MISC,0f7ce7deb48ed8d3bad4da5f130f2e89e375dc0a3c5a44f4f85f6cdbdcdd,13596,96.0,4.0,1447562,16
a4e11ffb6f5a4c4f0ae1d228,bd58a496aa3fd28614042d7dd715943af9d43894c8376c37c752dc575382,c677a0acf7c0,1448430.0,1448838.0,408.0,1,20,4000.0,1562.5,5.0,MISC,bd58a496aa3fd28614042d7dd715943af9d43894c8376c37c752dc575382,408,40.0,5.0,1448430,20
67629ae9ecfdfd0717112bb6,358d6fd75dc9f42bb74796547bb16ab5666d728a43976bfabb5939d5ecc6,c677a0acf7c0,1448430.0,1534482.0,86052.0,1,20,4000.0,390.625,5.0,MISC,358d6fd75dc9f42bb74796547bb16ab5666d728a43976bfabb5939d5ecc6,86052,40.0,5.0,1448430,20
45ade3f3f67b40b1d27a00b8,2cae3fb1a31aa51106666287d675459bd8671330791456b152ce4f457151,c677a0acf7c0,1448875.0,1448922.0,47.0,1,1,600.0,29.296875,1.0,MISC,2cae3fb1a31aa51106666287d675459bd8671330791456b152ce4f457151,47,6.0,1.0,1448875,1
e41b41917312ebfef77d5029,a9b0537f00412862a07b67d5769f704979bfb6047a44a5ad423869f44a21,c677a0acf7c0,1448926.0,1454886.0,5960.0,1,20,4000.0,390.625,5.0,MISC,a9b0537f00412862a07b67d5769f704979bfb6047a44a5ad423869f44a21,5960,40.0,5.0,1448926,20
0c1edc63333de9a63227eb12,de9628918c36459fc692234f6fbdbb0dce2f9ab733271d6931a14610449e,c677a0acf7c0,1448953.0,1449001.0,48.0,1,1,600.0,29.296875,1.0,MISC,de9628918c36459fc692234f6fbdbb0dce2f9ab733271d6931a14610449e,48,6.0,1.0,1448953,1
dc757be5645bc12eaa43154f,3c15c7da935842b90bc950ec83451d28d89758c9f8d874f74b7258ad92a9,c677a0acf7c0,1449953.0,1451763.0,1810.0,1,20,10000.0,781.25,5.0,MISC,3c15c7da935842b90bc950ec83451d28d89758c9f8d874f74b7258ad92a9,1810,100.0,5.0,1449953,20
4eca62e424e5cf9e46090db4,fa28ff78c709dfe0e00cf772c6a8c141783c7b765c0a8975ea1a8aa7cfa0,c677a0acf7c0,1450040.0,1455430.0,5390.0,1,1,600.0,29.296875,0.25,MISC,fa28ff78c709dfe0e00cf772c6a8c141783c7b765c0a8975ea1a8aa7cfa0,5390,6.0,0.25,1450040,1
9d3ae10e63f35ab76ae3c9ea,8ed3e73b2de33c4ac35cf3721fdc3f1ce08ae66c60214197a9402bb87b2d,c677a0acf7c0,1450063.0,1450181.0,118.0,1,1,600.0,29.296875,1.0,MISC,8ed3e73b2de33c4ac35cf3721fdc3f1ce08ae66c60214197a9402bb87b2d,118,6.0,1.0,1450063,1
ba1142d532e43d4f3965787a,6a43a44cfa625d55f562d7f65f1efa6e8cc8881613d3802186ce6064e644,c677a0acf7c0,1450209.0,1450252.0,43.0,1,1,600.0,29.296875,1.0,MISC,6a43a44cfa625d55f562d7f65f1efa6e8cc8881613d3802186ce6064e644,43,6.0,1.0,1450209,1
779c4750b70ef24b04c04e0a,ecdf6acc8568dad937bc7828203d6105da964e79e648c3e89b02d7825a1f,c677a0acf7c0,1450266.0,1462722.0,12456.0,1,30,15000.0,1171.875,7.5,MISC,ecdf6acc8568dad937bc7828203d6105da964e79e648c3e89b02d7825a1f,12456,150.0,7.5,1450266,30
f4c89b43453f18c89f688268,b7b5a8f4a6336365ead164ab5087106f2b66b1272e6c36413b9dd6a9c4a5,c677a0acf7c0,1450524.0,1450640.0,116.0,1,1,600.0,29.296875,1.0,MISC,b7b5a8f4a6336365ead164ab5087106f2b66b1272e6c36413b9dd6a9c4a5,116,6.0,1.0,1450524,1
